word,category
# Profanity
fuck,profanity
shit,profanity
bitch,profanity
cunt,profanity
dick,profanity
pussy,profanity
whore,profanity
bastard,profanity
ass,profanity
asshole,profanity
cock,profanity
twat,profanity
slut,profanity
wanker,profanity
motherfucker,profanity
fucker,profanity
bullshit,profanity
damn,profanity
hell,profanity
# Racism
nigger,racism
nigga,racism
negro,racism
kike,racism
chink,racism
paki,racism
spic,racism
wetback,racism
gook,racism
towelhead,racism
sandnigger,racism
coon,racism
junglebunny,racism
porchmonkey,racism
spook,racism
tar baby,racism
wop,racism
dago,racism
guinea,racism
kraut,racism
hunky,racism
polack,racism
# Sexual Orientation/Gender
faggot,hate
fag,hate
dyke,hate
tranny,hate
queer,hate
homo,hate
transsexual,hate
shemale,hate
he-she,hate
it,hate
# Insults
idiot,insult
stupid,insult
dumb,insult
retard,insult
retarded,insult
moron,insult
imbecile,insult
dumbass,insult
dumbfuck,insult
dipshit,insult
dumbshit,insult
# Violence
kill,violence
killer,violence
murder,violence
death,violence
die,violence
dead,violence
suicide,violence
terrorist,violence
terrorism,violence
bomb,violence
shoot,violence
shooting,violence
# Hate
hate,hate
hatred,hate
despise,hate
loathe,hate
abhor,hate
bigot,hate
bigotry,hate
racist,hate
racism,hate
sexist,hate
sexism,hate
homophobe,hate
homophobia,hate
transphobe,hate
transphobia,hate
antisemitic,hate
antisemitism,hate
islamophobe,hate
islamophobia,hate
xenophobe,hate
xenophobia,hate
# Abbreviations
fck,profanity
sh1t,profanity
b1tch,profanity
d1ck,profanity
p0rn,profanity
# Additional Terms
crap,profanity
douche,profanity
douchebag,profanity
jerk,profanity
jerkoff,profanity
prick,profanity
scumbag,profanity
skank,profanity
tramp,profanity
wimp,profanity
wuss,profanity
# Religious Hate
infidel,hate
kafir,hate
heathen,hate
heretic,hate
blasphemy,hate
# Disability Hate
cripple,hate
spaz,hate
retard,hate
mongoloid,hate
# Body Shaming
fatso,hate
lardass,hate
skinny,hate
anorexic,hate
# Additional Hate Terms
nazi,hate
fascist,hate
supremacist,hate
white supremacist,hate
black supremacist,hate
misogynist,hate
misogyny,hate
patriarchy,hate
incel,hate
neckbeard,hate
# Threatening Terms
threat,threat
threaten,threat
intimidate,threat
intimidation,threat
harass,threat
harassment,threat
stalk,threat
stalking,threat
# Additional Profanity
cocksucker,profanity
motherfucking,profanity
shithead,profanity
dickhead,profanity
piss,profanity
pissed,profanity
pissing,profanity
# Additional Insults
dumbfuck,insult
dipshit,insult
dumbshit,insult
fuckwit,insult
dickwad,insult
pisshead,insult
twatwaffle,insult
